Journal,Term_1,Term_2,Term_3,Term_4,Term_5,Term_6,Term_7,Term_8,Term_9,Term_10,Term_11,Term_12,Term_13,Term_14,Term_15,Term_16,Term_17,Term_18,Term_19,Term_20,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9,Score_10,Score_11,Score_12,Score_13,Score_14,Score_15,Score_16,Score_17,Score_18,Score_19,Score_20
Journal of Risk and Uncertainty,risk,utility,ambiguity,insurance,preferences,aversion,decision,risks,theory,subjects,expected,choice,probability,preference,individuals,probabilities,experimental,information,choices,value,0.08771421887991662,0.04550352005303411,0.030485632420614996,0.03040449244977842,0.02973015367894662,0.028754479746711952,0.024481163106583343,0.023137248888309505,0.023028620447744712,0.022978079741290715,0.022718605118693933,0.022210143026911256,0.021612958845767576,0.02085576088223089,0.01958554538531628,0.018445525411513057,0.01646744496518976,0.016435997717265,0.016415241271818308,0.016390480880760158
Journal of Population Economics,fertility,children,labor,population,immigrants,education,child,migration,women,effects,family,effect,age,income,growth,parents,paper,health,data,birth,0.05238748031428139,0.030931029669622252,0.02772838349142922,0.027257352574560845,0.02657077613963646,0.02440860162769559,0.022803614098392405,0.021743133710217008,0.02143097048775403,0.021019457450065275,0.020083644791026433,0.01984256971217238,0.019107851660012082,0.018111241153799935,0.01796407819687731,0.017522603127632055,0.01717436168045471,0.01710874841676464,0.016921512815953485,0.016313325853180304
Economic Theory,equilibrium,equilibria,agents,model,information,games,utility,existence,optimal,preferences,set,paper,game,economy,conditions,theory,market,general,functions,theorem,0.05057957203196703,0.032084494919981,0.02576351189520926,0.024811912363870394,0.02449054514925752,0.023933247175295304,0.023626460046085106,0.020233135916326608,0.01940009112019118,0.01798641765747029,0.017139695519535557,0.01706552126220984,0.016175533216717258,0.015471051156646707,0.014855222636566235,0.014771051245160273,0.014656361136232813,0.014306014163330619,0.01424280666743012,0.014196517711294522
Public Choice,political,public,voting,permissions,reprints,choice,university,government,economic,economics,theory,voters,rentseeking,elections,state,electoral,paper,policy,model,social,0.04366648569297232,0.03900792173958926,0.029830300046509783,0.027107949518079537,0.0271022318843014,0.026891423706479445,0.026068358396721957,0.022828423023255568,0.017990172592420993,0.017004339952924774,0.016520190007184053,0.016028968152887423,0.014284424105099464,0.014032103305795622,0.01368400291734618,0.012705292493019577,0.012595198436295444,0.012589198489971963,0.01255980373685751,0.012295760698066562
Empirical Economics,model,data,growth,using,countries,results,paper,inflation,models,rate,effects,empirical,income,evidence,analysis,economic,panel,market,price,effect,0.027922997821961483,0.02643778466135584,0.020740353386944778,0.020436854669077877,0.020192989337698475,0.01992528406402218,0.019363646930628538,0.0190715232789985,0.018721467971504112,0.018193876451758916,0.01771259665344808,0.017092365641043498,0.015860965858135068,0.015762516848171933,0.015613630120188692,0.015540608144644938,0.015462734948840873,0.015132943130111081,0.014838254033441294,0.014076444292275295
Journal of Political Economy,tax,income,model,taxes,paper,capital,rate,state,rates,percent,effects,data,states,market,policy,labor,price,property,equilibrium,public,0.0862418326152257,0.033687575106974135,0.020946854599397453,0.020734935279462692,0.01877474579037719,0.01604614853208402,0.015617497834390754,0.015406854207889046,0.014490420955162724,0.014238120693476906,0.013877849813133112,0.01385246617768199,0.013559927468290678,0.013463881105822952,0.012837554346881072,0.0127246191158639,0.012381681900746747,0.01228474244960971,0.012185377325313955,0.011884203969936172
Review of Environmental Economics and Policy,environmental,climate,policy,article,emissions,economics,change,carbon,pollution,policies,economic,research,water,review,energy,literature,impacts,natural,regulations,analysis,0.081218728859958,0.07290763709870325,0.04801245633787186,0.045998916854227676,0.0405853139189286,0.03959981712912426,0.030839986495232848,0.03082379321372663,0.028183504022349953,0.027792654867099465,0.027257372493123388,0.02677523342654392,0.026378455547994287,0.024863923952595582,0.024479654949531984,0.024003443214371204,0.023783046077435,0.022675970186301322,0.022541406833554673,0.020408394810202936
Economic Development and Cultural Change,program,households,household,health,education,rural,labor,evidence,child,effects,children,women,school,article,data,effect,impact,using,income,outcomes,0.03143228744733916,0.029490998598955043,0.028925719065665868,0.02769052241315203,0.026806741041137255,0.026457533530771817,0.026012767657098115,0.02497098892937056,0.02470737516754268,0.022694188103992718,0.02255611039217021,0.022052717981842888,0.02126890097909067,0.02020399131389526,0.019819612624405143,0.018833476751642285,0.018496614295303207,0.017963493071647598,0.01712703724811175,0.017026724666747275
Journal of Labor Economics,wage,workers,labor,job,wages,employment,earnings,unemployment,effects,data,model,article,effect,search,students,market,firms,evidence,worker,work,0.06080482556881232,0.05304770217081136,0.048057412750687915,0.03447917432013151,0.034370308993651566,0.028864797631263622,0.02744034777977263,0.02502895170577888,0.02291730848475703,0.021808571036203223,0.021466067752393875,0.020168049159876935,0.01937033044083156,0.019064721735271326,0.01806058284341919,0.017763601879570847,0.016803606231147912,0.016776327509042347,0.016470710721269027,0.01611898767709627
The Journal of Law and Economics,firms,laws,crime,evidence,percent,states,law,market,effect,effects,rights,data,legal,property,costs,state,prices,litigation,enforcement,likely,0.02759160866235164,0.024983742792991013,0.022937357727877507,0.021760129121639982,0.019779287113700507,0.018767944581639714,0.018092620961413137,0.016532211023571306,0.016391566077271314,0.016221213590353684,0.016092860971497078,0.015196047972598652,0.01385552955516974,0.013457550983525496,0.01338783681163738,0.01325508651895197,0.0130999382035699,0.01288544996656154,0.012222319718753418,0.012190417802636886
The Journal of Finance,returns,stock,firms,market,risk,book,trading,asset,price,information,investors,prices,capital,debt,stocks,equity,model,corporate,financial,pricing,0.04230752396560883,0.03718598795583143,0.03568840899756641,0.031877044317539634,0.028233796411493282,0.024155527809455263,0.023265584320662454,0.021810047841667485,0.021230826344789858,0.020974559784640613,0.0207012336233953,0.01997914730456788,0.019497752326670833,0.01939722453270564,0.019112466393130082,0.01857790741569901,0.018520588554192,0.018292467213341237,0.01785411343894548,0.017788878014902754
"Journal of Money, Credit and Banking",inflation,monetary,policy,bank,banks,shocks,model,credit,rate,financial,price,market,risk,central,rates,money,real,output,prices,paper,0.06380938350774347,0.05235757579428388,0.04333051084254243,0.036334462015493625,0.035423536200172044,0.0335285293494182,0.03233760234390666,0.02807383328445992,0.026812114974686076,0.024808376758426638,0.02158541564094002,0.02071196417211556,0.017969355437288892,0.01736444645047838,0.017349112837629552,0.017224619991174955,0.017044474865727313,0.01639177239974389,0.015570079934191986,0.015468963605202226
RAND Journal of Economics,firms,information,consumers,price,optimal,competition,model,search,market,firm,costs,auctions,incentives,contracts,equilibrium,prices,entry,consumer,article,demand,0.03933166353059718,0.03387894230021189,0.031429165161858556,0.02861129996736142,0.02321470435860156,0.02287631066840469,0.022710977188357656,0.022509979348804783,0.022051023398718117,0.021638082175294077,0.01945207822314228,0.019365669327190603,0.019251818181418332,0.019087424930804373,0.019047541158072757,0.018972703506819164,0.018956832147326626,0.01892759222237238,0.018155334566025805,0.017495507571264453
Journal of Applied Econometrics,wiley,sons,john,copyright,model,models,data,estimation,using,paper,available,empirical,estimates,information,effects,issue,results,variables,tests,approach,0.05688460709257051,0.056525515338215856,0.056256922741303055,0.05315935042566791,0.04233892306381151,0.036470796611786496,0.030722562589644814,0.02270742700682238,0.021955312229606967,0.020132927702234182,0.01755080295274072,0.017338678414443042,0.01693718687438689,0.016935086245534,0.0168363866177113,0.01613165174644138,0.016103317185377348,0.015730494847422036,0.01564504091307846,0.015495865021146454
Oxford Bulletin of Economics and Statistics,data,labour,model,effects,test,models,tests,using,inflation,evidence,panel,unemployment,growth,shocks,paper,results,empirical,countries,effect,variables,0.02506347819598925,0.02358843423555278,0.021979330368654917,0.020667936697245183,0.02026152717487186,0.019941068511860425,0.019269631880766747,0.018386563292536864,0.01747931734611895,0.016933999681373654,0.016431872638241737,0.01589041245590917,0.015407452891216377,0.015181879939967472,0.01499855063309307,0.014505330716076171,0.014373652320186335,0.014348790830018903,0.013729151727179393,0.013416895299493203
Quantitative Economics,models,model,identification,data,inference,distribution,dynamic,earnings,structural,estimation,effects,risk,choice,method,using,income,parameters,shocks,estimator,treatment,0.04006308600938202,0.03779168437498112,0.030694802086432042,0.02589134202743037,0.02392856595719878,0.022299368932798675,0.020492462556111698,0.01988578815834891,0.01977699155589428,0.019710381658994566,0.018972391889911927,0.018588354340893596,0.018085569551721435,0.017621364521663657,0.017537322874449753,0.017000584812803064,0.016972461227140193,0.01681369721200132,0.016429322368078304,0.01561935881721506
Journal of Industrial Economics,firms,price,market,competition,prices,entry,product,consumers,markets,industry,firm,quality,welfare,merger,rd,consumer,model,costs,pricing,patent,0.04734517384575003,0.04338790004914232,0.04134713757765027,0.03864450677167865,0.029737395942195745,0.02858955137680708,0.02806064562882166,0.024740043399895075,0.02439660290466908,0.023133454286008766,0.021341492251396185,0.02070660781273959,0.02026553534377488,0.020226490874848305,0.019239993776050752,0.01923428670052078,0.018854973981444357,0.01881258596714045,0.016574795315013043,0.016516147471713948
Scandinavian Journal of Economics,wage,tax,model,income,policy,firms,unemployment,effects,growth,countries,effect,labor,market,welfare,paper,employment,optimal,rate,workers,wages,0.0236225373925144,0.022893636078062888,0.022390421696049614,0.021908552943778258,0.01949508648515315,0.019164968100173166,0.01743319708212779,0.01689462583051478,0.01662419449628631,0.01577183871783931,0.015551092699617386,0.015245929144836114,0.014978020772092829,0.014816949200029683,0.014531828922321433,0.014107168780516188,0.013522345361938366,0.013518748166771946,0.013446974717506017,0.01331057446326443
Journal of Economics & Management Strategy,firms,firm,competition,market,price,information,product,quality,consumers,incentives,contracts,equilibrium,entry,model,prices,cost,markets,paper,patent,products,0.05420254432004516,0.031056054731897514,0.0307634323787285,0.02635131119214231,0.025676589550518842,0.025143198920999445,0.02509920177750708,0.024245604021590282,0.024122955766430983,0.017984601426997954,0.017530161301897437,0.017160722282598,0.01676599551623751,0.016764011491218436,0.015488544015234045,0.015482358265656524,0.015258972033893852,0.015254971667162486,0.014697669678347902,0.014143597095728816
Theoretical Economics,agents,equilibrium,information,games,agent,optimal,equilibria,set,players,mechanism,preferences,choice,model,characterize,matching,beliefs,dynamic,utility,game,principal,0.05294180330919602,0.03946389432025088,0.038167591665380314,0.0336473855550134,0.028467829903158465,0.024444928318999387,0.02371622721939279,0.020850922406969313,0.020339742850797274,0.020107230183748298,0.019955800206635597,0.019264132163052325,0.018214492131274566,0.01764774680998889,0.01708698244362125,0.016673439788076866,0.016026137952190826,0.015805717079134078,0.015551404279502377,0.015545976905881796
Economic Enquiry,jel,model,price,market,effects,evidence,firms,growth,data,labor,effect,demand,income,paper,policy,behavior,economic,results,wage,using,0.04138810931357966,0.019184870219030464,0.015830294646947084,0.015609083814952596,0.015370355855873362,0.014746982733137843,0.014119164377187717,0.014089557722304125,0.014015421462507987,0.013998946925781179,0.013348896904044312,0.013297329378422332,0.013295459223315608,0.012992427474287504,0.012962477786233094,0.012944801661157438,0.012423039082622017,0.012409226966977485,0.0121210099112508,0.012089927852134436
American Journal of Agricultural Economics,agricultural,food,farm,production,price,model,farmers,demand,prices,crop,land,results,market,risk,data,effects,analysis,used,water,using,0.03736525034212506,0.03103898435657314,0.027933871798051305,0.027055393958352172,0.026097181693351693,0.025598027384303404,0.0226555354691066,0.020652261367572474,0.02026284578668198,0.018699283129520315,0.017159764651882462,0.01710034981292474,0.017032074035481116,0.01664820818608691,0.015582128578903811,0.014209340173660075,0.014055382583655237,0.013982376840643126,0.013864629761452462,0.013740213998732806
International Economic Review,model,article,equilibrium,search,welfare,trade,market,firms,labor,agents,models,policy,productivity,money,information,growth,workers,price,dynamic,optimal,0.04112156976163451,0.02979137219802825,0.02942517619412831,0.02210777208940278,0.02096967134010399,0.020816123686759974,0.019882424681032775,0.019183797579699444,0.0168903262391821,0.015566057392392809,0.015250493052501639,0.01473663447001245,0.013922921406015424,0.013810505017932285,0.013626734391527132,0.013571153229076894,0.013514466243242164,0.013507579832190312,0.013206844239535267,0.013122079692084766
Journal of Economic Surveys,literature,review,survey,research,economic,empirical,paper,economics,models,studies,growth,recent,theory,policy,theoretical,financial,analysis,reviewed,surveys,issues,0.05545403234923053,0.0369748802713351,0.03138485502433814,0.031166750416704574,0.030468071950959123,0.02895637999046242,0.028536962235400382,0.028146223912439417,0.026281374365076084,0.022278074115342304,0.021699097765028066,0.020486263384054293,0.019458156901322757,0.018946726278580957,0.01852827941145502,0.016305866653033126,0.01522486259062015,0.015212786648420825,0.014622367377469529,0.01461054701566629
Journal of Accounting Research,earnings,firms,information,accounting,disclosure,audit,analysts,financial,reporting,managers,disclosures,investors,auditors,firm,management,performance,evidence,quality,analyst,stock,0.07294179902270875,0.06419174820181799,0.052353107941236175,0.05193549474222902,0.05064385678577151,0.03629344704947307,0.03392411628453219,0.029208888666220786,0.029191434285097954,0.02747436437389569,0.025766908306867523,0.025553248823541513,0.024977011686231794,0.02257796538151546,0.022230057830201252,0.021739864058658694,0.020458766911183673,0.01913065980542463,0.01885785832581524,0.018658286335570203
Economics and Politics,political,trade,government,policy,countries,economic,elections,voters,lobbying,model,paper,public,corruption,governments,growth,partisan,voting,institutions,policies,economy,0.062060404134979825,0.03006413701954449,0.02961269195071083,0.028571238351834265,0.023835677280731198,0.023424872628944143,0.02200078485388372,0.021249995687490333,0.020685838629687203,0.020671735264700355,0.018489598411134674,0.017484503279863565,0.01694403336142787,0.01626454851999511,0.015747833949565256,0.014801451709616492,0.014476572179310539,0.014084472645312816,0.014006524727326043,0.013998393475510695
Canadian Journal of Economics,trade,canadian,firms,canada,classification,model,labour,tax,jel,countries,growth,policy,welfare,market,paper,income,effects,data,abstract,effect,0.04852105509507167,0.031767472132936105,0.02593836514460861,0.024961437034077823,0.02417390580794592,0.023273025441576646,0.023139644991894436,0.021465603043734294,0.019636883456506746,0.01901038541632603,0.018448222509070245,0.017854870124110717,0.017853689229446017,0.017414967328246652,0.01711873381152945,0.016763010081079447,0.01542705257479466,0.014336442309078273,0.014182878530363485,0.014000344550647645
Journal of Forecasting,forecasting,forecasts,models,forecast,model,series,wiley,john,sons,copyright,time,prediction,data,volatility,information,accuracy,performance,methods,paper,available,0.09973740643626536,0.07285932811787238,0.05821717803792202,0.05522256785935093,0.05070417210367994,0.0447735538891205,0.03874345021502656,0.038173974511091856,0.03809688618962184,0.036859618495170804,0.031607269102105776,0.028890122000426142,0.028880305018232515,0.02655747397908778,0.02637956228072864,0.02507504324827924,0.022081820280327336,0.021816785889200434,0.02101452505990559,0.020819435596467106
Journal of Economic Literature,review,economics,economic,book,essay,research,literature,theory,history,recent,policy,reviews,empirical,economists,discuss,growth,social,models,jel,new,0.05899700564517413,0.046354161391046374,0.04070861311692308,0.03656894079464553,0.03391708962353089,0.02779017123229839,0.023030801543841677,0.02290399967845195,0.020467518205491815,0.020144806954327632,0.019685820443044,0.018237181476974566,0.018037792967729456,0.017899566552664566,0.01761547518231937,0.017467159761877755,0.016550973647196314,0.015506926845413493,0.015424954072369356,0.015406677765866033
American Economic Journal: Macroeconomics,model,monetary,shocks,jel,policy,inflation,labor,percent,aggregate,capital,financial,growth,trade,productivity,income,data,rate,firms,optimal,consumption,0.04039140172967056,0.030247433098431448,0.030228139931018687,0.028777814142719092,0.028565695560060365,0.025351974491597522,0.024565248098054722,0.022840622713949384,0.022143962561321232,0.02189980592830103,0.020265788257841654,0.019310445235446807,0.01885307883730697,0.017846764496873665,0.017374492057936158,0.01735401359777244,0.016505493483502196,0.016296154066312532,0.016164835620705826,0.016108303665077612
American Economic Review: Insights,percent,information,labor,firms,data,effects,job,new,large,evidence,optimal,using,wealth,model,market,financial,policy,employment,immigrants,wage,0.026573847433767186,0.021086401873438625,0.020662642638204394,0.01850532656954974,0.015095575662769999,0.014784668058130973,0.01448865903139304,0.013416820542379849,0.01339334002887549,0.013288942909113022,0.012953408294043121,0.012656071513664512,0.012448086751049877,0.01193875567589204,0.011937278377213895,0.01183205957270267,0.01164288397798811,0.011499810408480079,0.011199632630698246,0.011181616153103752
American Economic Journal: Economic Policy,tax,percent,evidence,jel,effects,health,program,insurance,income,using,school,effect,increase,students,taxes,care,public,spending,policy,data,0.0489134513920169,0.033717000848086806,0.026499693877323083,0.024346920291192092,0.024318289708699373,0.02082212543751876,0.0195472789872212,0.018355581471014216,0.018276563116581657,0.017778637655099336,0.017579866307786556,0.01657816131100917,0.016100363088962538,0.015707196423473298,0.015638890291359484,0.015620392983130598,0.01466644206839167,0.014540744512922534,0.013795148951982042,0.013656321564907663
American Economic Journal: Applied Economics,percent,evidence,jel,effects,program,school,health,labor,students,using,effect,data,outcomes,increased,income,experiment,increase,variation,randomized,impact,0.03376952788404944,0.029498112889206552,0.028461929609587266,0.025696586290972274,0.02252123944269698,0.02193525534506424,0.020775431600589676,0.020109856926971814,0.019304521815598257,0.018229121841552436,0.018015624561760507,0.016231228966643113,0.01600513895258039,0.015012066515798653,0.014166587517149323,0.014109836824922575,0.014100806573252758,0.013955066467989054,0.013711747857930095,0.013558105870612557
American Economic Journal: Microeconomics,jel,information,equilibrium,agents,model,firms,market,optimal,quality,competition,price,preferences,welfare,markets,trade,study,consumers,game,d82,search,0.02846918584216867,0.026610222509533963,0.022832801002480887,0.021497475008856372,0.0189093226404498,0.01855830199567372,0.017694905221627786,0.017352791994979258,0.01645213669238614,0.016342644140660816,0.015691271634784554,0.015241858620241834,0.015059971966972601,0.014423397537571544,0.01397020294695175,0.013299595830627063,0.01313948657811928,0.012666700507729995,0.01225659941077865,0.011687827886690582
Journal of Economic Perspectives,economic,economics,economists,policy,market,theory,labor,paper,research,growth,countries,new,work,states,tax,united,discuss,markets,years,financial,0.03287352765200957,0.0310577865220186,0.02499263262008077,0.019092464060324207,0.01816413496182725,0.01643718672874015,0.016279175549033777,0.01599483140523819,0.015815169150507225,0.014932218432869317,0.014867994699455853,0.013893975737285843,0.013537178296999703,0.013234854926279993,0.013037497208519523,0.012918506054862227,0.012905341488535145,0.01236250792560114,0.01226086058344152,0.012216877865103639
American Economic Review,jel,model,percent,evidence,data,effects,labor,market,trade,information,firms,using,policy,income,growth,prices,new,risk,capital,paper,0.023372692202842407,0.020324392717682105,0.01677759380381672,0.01494530773222302,0.014710807536335396,0.014422358316737296,0.014195606998943101,0.013905730360701517,0.013704656461429916,0.01358213498747973,0.012933726593371057,0.012707743883098156,0.012350349059138567,0.01182824433868247,0.011752980560191972,0.011432841386158094,0.011428406849604797,0.011208127372854235,0.011174918133677573,0.011115817959140612
